Date,Open,High,Low,Close,Volume
2020-09-03,2383.26,2401.78,2382.23,2395.9,981546000
2020-09-04,2332.68,2370.37,2332.68,2368.25,1351039000
2020-09-07,2370.52,2387.49,2362.42,2384.22,1197385000
2020-09-08,2404.7,2406.97,2391.43,2401.91,979357000
2020-09-09,2372.53,2388.85,2369.12,2375.81,946247000
2020-09-10,2404.83,2406.68,2388.56,2396.48,1064574000
2020-09-11,2389.76,2397.56,2374,2396.69,882880000
2020-09-14,2418.33,2429.07,2410.79,2427.91,963082000
2020-09-15,2434.59,2444.45,2423.79,2443.58,849968000
2020-09-16,2440.03,2450.53,2429.94,2435.92,772938000
2020-09-17,2430.77,2437.02,2398.69,2406.17,853740000
2020-09-18,2413.53,2417.81,2396.33,2412.4,756516000
2020-09-21,2412.44,2427.17,2379.38,2389.39,1041993000
2020-09-22,2388.14,2388.49,2323.58,2332.59,1051028000
2020-09-23,2352.56,2354.46,2287.44,2333.24,735041000
2020-09-24,2295.62,2309.74,2268.88,2272.7,714881000
2020-09-25,2295.19,2296.36,2267.63,2278.79,697961000
2020-09-28,2301.16,2314.81,2291.32,2308.08,605977000
2020-09-29,2331.51,2339.83,2320.04,2327.89,646218000
2020-10-05,2330.55,2364.73,2328.98,2358,763618000
2020-10-06,2369.17,2378.28,2355.39,2365.9,861754000
2020-10-07,2350.82,2387.45,2347.82,2386.94,737994000
2020-10-08,2408.49,2409.01,2383.82,2391.96,961726000
2020-10-12,2404.18,2409.42,2393.74,2403.73,843574000
2020-10-13,2416.85,2418.89,2385.87,2403.15,724920000
2020-10-14,2403.74,2405.56,2375.57,2380.48,901176000
2020-10-15,2375.91,2376.73,2348.74,2361.21,1165501000
2020-10-16,2363.88,2370.73,2325.03,2341.53,920205000
2020-10-19,2352.92,2364.25,2344.77,2346.74,931645000
2020-10-20,2333.56,2358.41,2322.06,2358.41,874293000
2020-10-21,2363.03,2371.74,2356.32,2370.86,812837000
2020-10-22,2355.61,2360.22,2339.73,2355.05,815612000
2020-10-23,2364.84,2368.57,2344.49,2360.81,890384000
2020-10-26,2366.5,2374.5,2342.58,2343.91,822267000
2020-10-27,2328.66,2349.33,2321.23,2330.84,666941000
2020-10-28,2324.18,2345.46,2316.47,2345.26,705770000
2020-10-29,2312.34,2330.17,2299.91,2326.67,509768000
2020-10-30,2319.56,2320.2,2266.93,2267.15,795585000
2020-11-02,2276.61,2302.64,2267.95,2300.16,678501000
2020-11-03,2315.81,2344.77,2315.3,2343.31,887445000
2020-11-04,2361.32,2371.14,2339.95,2357.32,986786000
2020-11-05,2392.1,2413.79,2391.74,2413.79,702037000
2020-11-06,2411.09,2419.52,2404.97,2416.5,825568000
2020-11-09,2438.63,2459.15,2434.52,2447.2,1354862000
2020-11-10,2453.95,2457.94,2435.59,2452.83,1464168000
2020-11-11,2459.5,2488.04,2459.5,2485.87,1272038000
2020-11-12,2482.68,2488.79,2467.04,2475.62,1278691000
2020-11-13,2470.12,2495.77,2460.96,2493.87,1072383000
2020-11-16,2507.46,2546.37,2507.46,2543.03,1239135000
2020-11-17,2544.12,2556.09,2533.34,2539.15,1267494000
2020-11-18,2548.85,2553.95,2536.78,2545.64,923504000
2020-11-19,2536.89,2548.95,2529.53,2547.42,976483000
2020-11-20,2544.06,2558.21,2539.79,2553.5,1129500000
2020-11-23,2560.04,2605.58,2553.7,2602.59,1649443000
2020-11-24,2621.95,2628.52,2610.16,2617.76,1364506000
2020-11-25,2637.34,2642.26,2583.41,2601.54,1410104000
2020-11-26,2605.73,2625.97,2592.43,2625.91,1387435000
2020-11-27,2624.8,2635,2618.47,2633.45,1196041000
2020-11-30,2648.05,2648.66,2591.34,2591.34,1311831000
2020-12-01,2613.42,2638.87,2611.67,2634.25,1151129000
2020-12-02,2645.88,2677.26,2644.53,2675.9,1076203000
2020-12-03,2686.38,2696.22,2672.85,2696.22,817065000
2020-12-04,2705.34,2742.77,2705.34,2731.45,1778896000
2020-12-07,2738.11,2754.01,2711.42,2745.44,1499265000
2020-12-08,2745.13,2747.45,2700.92,2700.93,1415239000
2020-12-09,2703.3,2755.47,2703.3,2755.47,1252304000
2020-12-10,2750.34,2765.46,2718.7,2746.46,1227651000
2020-12-11,2754.16,2781.04,2754.16,2770.06,1215239000
2020-12-14,2769.93,2776.19,2759.75,2762.2,1113630000
2020-12-15,2763.65,2769.37,2735.08,2756.82,1093522000
2020-12-16,2763.64,2781.08,2761.5,2771.79,1166637000
2020-12-17,2769.89,2772.71,2742.25,2770.43,1015484000
2020-12-18,2770.95,2782.15,2762.8,2772.18,1059143000
2020-12-21,2771.98,2780.24,2747.09,2778.65,1139513000
2020-12-22,2772.03,2774.22,2733.64,2733.68,1260761000
2020-12-23,2737.74,2769.08,2716.28,2759.82,1121346000
2020-12-24,2762.6,2812.16,2762.6,2806.86,1030890000
2020-12-28,2820.95,2834.59,2799.56,2808.6,1006249000
2020-12-29,2810.55,2823.44,2792.06,2820.51,1046839000
2020-12-30,2820.36,2878.21,2809.35,2873.47,1074033000
2021-01-04,2874.5,2946.54,2869.11,2944.45,1026510000
2021-01-05,2943.67,2990.57,2921.84,2990.57,1519911000
2021-01-06,2993.34,3027.16,2961.37,2968.21,1793418000
2021-01-07,2980.75,3055.28,2980.75,3031.68,1524654000
2021-01-08,3040.11,3161.11,3040.11,3152.18,1297903000
2021-01-11,3161.9,3266.23,3096.19,3148.45,1712525000
2021-01-12,3145.87,3154.79,3047.56,3125.95,1390617000
2021-01-13,3128.26,3164.37,3109.63,3148.29,1578042000
2021-01-14,3148.65,3159.03,3128.72,3149.93,1233182000
2021-01-15,3153.84,3189.9,3085.9,3085.9,1331079000
2021-01-18,3062.52,3065.66,3003.89,3013.93,1472048000
2021-01-19,3013.05,3107,3011.32,3092.66,1353312000
2021-01-20,3115.04,3145.01,3077.15,3114.55,1192695000
2021-01-21,3123.27,3163.21,3123.27,3160.84,1360065000
2021-01-22,3163.83,3185.26,3140.6,3140.63,1111222000
2021-01-25,3144.01,3212.22,3142.8,3208.99,1093652000
2021-01-26,3203.96,3209.18,3132.67,3140.31,873023000
2021-01-27,3143.46,3182.53,3118.89,3122.56,924582000
2021-01-28,3082.34,3082.69,3046.64,3069.05,1310454000
2021-01-29,3078.73,3100.22,2962.7,2976.21,995071000
2021-02-01,2976.81,3056.87,2947.24,3056.53,969262000
2021-02-02,3065.56,3138.95,3065.56,3096.81,887313000
2021-02-03,3108.42,3142.26,3091.85,3129.68,901788000
2021-02-04,3135.02,3135.02,3068.46,3087.55,1460945000
2021-02-05,3098.49,3124.62,3081.78,3120.63,1193486000
2021-02-08,3113.63,3128.54,3085.59,3091.24,1277207000
2021-02-09,3102.25,3129.66,3084.67,3084.67,2145388000
2021-02-10,3088.13,3111.88,3064.25,3100.58,1604653000
